"","gamma_rate_closures_1.Var1","gamma_rate_closures_1.Var2","gamma_rate_closures_1.Freq","gamma_rate_closures_2.Var1","gamma_rate_closures_2.Var2","gamma_rate_closures_2.Freq","gamma_rate_closures_mixed.Var1","gamma_rate_closures_mixed.Var2","gamma_rate_closures_mixed.Freq","gamma_rate_closures_unbalanced.Var1","gamma_rate_closures_unbalanced.Var2","gamma_rate_closures_unbalanced.Freq","gamma_rate_closures_multirate.Var1","gamma_rate_closures_multirate.Var2","gamma_rate_closures_multirate.Freq","gamma_rate_closures_multimix.Var1","gamma_rate_closures_multimix.Var2","gamma_rate_closures_multimix.Freq","fixed_rate_closures_1.Var1","fixed_rate_closures_1.Var2","fixed_rate_closures_1.Freq","fixed_rate_closures_2.Var1","fixed_rate_closures_2.Var2","fixed_rate_closures_2.Freq","fixed_rate_closures_mixed.Var1","fixed_rate_closures_mixed.Var2","fixed_rate_closures_mixed.Freq","fixed_rate_closures_unbalanced.Var1","fixed_rate_closures_unbalanced.Var2","fixed_rate_closures_unbalanced.Freq","fixed_rate_closures_multirate.Var1","fixed_rate_closures_multirate.Var2","fixed_rate_closures_multirate.Freq","fixed_rate_closures_multimix.Var1","fixed_rate_closures_multimix.Var2","fixed_rate_closures_multimix.Freq"
"1","","      T1","Min.   :10.0  ","","      T1","Min.   :18.00  ","","      T1","Min.   :14.00  ","","      T1","Min.   :12.00  ","","      T1","Min.   :11.00  ","","      T1","Min.   :11.00  ","","      T1","Min.   :11.00  ","","      T1","Min.   :18.00  ","","      T1","Min.   :15.00  ","","      T1","Min.   :12.00  ","","      T1","Min.   :11.00  ","","      T1","Min.   :12.00  "
"2","","      T1","1st Qu.:14.0  ","","      T1","1st Qu.:22.00  ","","      T1","1st Qu.:17.00  ","","      T1","1st Qu.:15.00  ","","      T1","1st Qu.:14.00  ","","      T1","1st Qu.:15.00  ","","      T1","1st Qu.:14.00  ","","      T1","1st Qu.:23.00  ","","      T1","1st Qu.:18.00  ","","      T1","1st Qu.:14.75  ","","      T1","1st Qu.:14.00  ","","      T1","1st Qu.:15.00  "
"3","","      T1","Median :16.0  ","","      T1","Median :24.00  ","","      T1","Median :19.00  ","","      T1","Median :16.00  ","","      T1","Median :15.00  ","","      T1","Median :16.00  ","","      T1","Median :16.00  ","","      T1","Median :24.00  ","","      T1","Median :19.00  ","","      T1","Median :16.00  ","","      T1","Median :15.00  ","","      T1","Median :16.00  "
"4","","      T1","Mean   :15.7  ","","      T1","Mean   :23.97  ","","      T1","Mean   :19.12  ","","      T1","Mean   :16.15  ","","      T1","Mean   :14.92  ","","      T1","Mean   :16.49  ","","      T1","Mean   :15.88  ","","      T1","Mean   :24.19  ","","      T1","Mean   :19.46  ","","      T1","Mean   :16.23  ","","      T1","Mean   :15.03  ","","      T1","Mean   :16.44  "
"5","","      T1","3rd Qu.:17.0  ","","      T1","3rd Qu.:25.25  ","","      T1","3rd Qu.:20.25  ","","      T1","3rd Qu.:17.00  ","","      T1","3rd Qu.:16.00  ","","      T1","3rd Qu.:18.00  ","","      T1","3rd Qu.:17.00  ","","      T1","3rd Qu.:26.00  ","","      T1","3rd Qu.:21.00  ","","      T1","3rd Qu.:18.00  ","","      T1","3rd Qu.:16.00  ","","      T1","3rd Qu.:17.00  "
"6","","      T1","Max.   :22.0  ","","      T1","Max.   :31.00  ","","      T1","Max.   :26.00  ","","      T1","Max.   :23.00  ","","      T1","Max.   :18.00  ","","      T1","Max.   :22.00  ","","      T1","Max.   :22.00  ","","      T1","Max.   :29.00  ","","      T1","Max.   :25.00  ","","      T1","Max.   :21.00  ","","      T1","Max.   :20.00  ","","      T1","Max.   :23.00  "
"7","","      T2","Min.   :25.00  ","","      T2","Min.   :16.00  ","","      T2","Min.   :23  ","","      T2","Min.   :29.00  ","","      T2","Min.   :29.00  ","","      T2","Min.   :30.00  ","","      T2","Min.   :25.00  ","","      T2","Min.   :14.00  ","","      T2","Min.   :24.00  ","","      T2","Min.   :29.00  ","","      T2","Min.   :27.00  ","","      T2","Min.   :29.00  "
"8","","      T2","1st Qu.:30.00  ","","      T2","1st Qu.:20.00  ","","      T2","1st Qu.:28  ","","      T2","1st Qu.:38.00  ","","      T2","1st Qu.:37.00  ","","      T2","1st Qu.:36.75  ","","      T2","1st Qu.:31.00  ","","      T2","1st Qu.:20.00  ","","      T2","1st Qu.:28.75  ","","      T2","1st Qu.:35.75  ","","      T2","1st Qu.:36.00  ","","      T2","1st Qu.:38.00  "
"9","","      T2","Median :33.00  ","","      T2","Median :22.00  ","","      T2","Median :31  ","","      T2","Median :41.00  ","","      T2","Median :41.00  ","","      T2","Median :40.00  ","","      T2","Median :33.00  ","","      T2","Median :22.00  ","","      T2","Median :31.00  ","","      T2","Median :40.00  ","","      T2","Median :41.00  ","","      T2","Median :42.00  "
"10","","      T2","Mean   :33.12  ","","      T2","Mean   :21.65  ","","      T2","Mean   :31  ","","      T2","Mean   :42.33  ","","      T2","Mean   :42.24  ","","      T2","Mean   :41.33  ","","      T2","Mean   :33.21  ","","      T2","Mean   :21.85  ","","      T2","Mean   :31.11  ","","      T2","Mean   :41.13  ","","      T2","Mean   :42.97  ","","      T2","Mean   :43.83  "
"11","","      T2","3rd Qu.:35.00  ","","      T2","3rd Qu.:23.00  ","","      T2","3rd Qu.:33  ","","      T2","3rd Qu.:46.00  ","","      T2","3rd Qu.:46.00  ","","      T2","3rd Qu.:45.25  ","","      T2","3rd Qu.:35.25  ","","      T2","3rd Qu.:23.25  ","","      T2","3rd Qu.:34.00  ","","      T2","3rd Qu.:46.25  ","","      T2","3rd Qu.:48.00  ","","      T2","3rd Qu.:47.25  "
"12","","      T2","Max.   :47.00  ","","      T2","Max.   :29.00  ","","      T2","Max.   :43  ","","      T2","Max.   :68.00  ","","      T2","Max.   :72.00  ","","      T2","Max.   :58.00  ","","      T2","Max.   :44.00  ","","      T2","Max.   :29.00  ","","      T2","Max.   :40.00  ","","      T2","Max.   :58.00  ","","      T2","Max.   :73.00  ","","      T2","Max.   :81.00  "
"13","","      T3","Min.   :17.00  ","","      T3","Min.   :25.00  ","","      T3","Min.   :24.00  ","","      T3","Min.   :21.00  ","","      T3","Min.   :19.00  ","","      T3","Min.   :24.00  ","","      T3","Min.   :17.00  ","","      T3","Min.   :23.00  ","","      T3","Min.   :23.00  ","","      T3","Min.   :19.00  ","","      T3","Min.   :18.00  ","","      T3","Min.   :23.00  "
"14","","      T3","1st Qu.:21.00  ","","      T3","1st Qu.:30.00  ","","      T3","1st Qu.:29.75  ","","      T3","1st Qu.:31.00  ","","      T3","1st Qu.:22.00  ","","      T3","1st Qu.:30.00  ","","      T3","1st Qu.:21.00  ","","      T3","1st Qu.:31.00  ","","      T3","1st Qu.:30.00  ","","      T3","1st Qu.:29.00  ","","      T3","1st Qu.:22.00  ","","      T3","1st Qu.:30.00  "
"15","","      T3","Median :23.00  ","","      T3","Median :32.00  ","","      T3","Median :32.00  ","","      T3","Median :34.00  ","","      T3","Median :23.50  ","","      T3","Median :34.00  ","","      T3","Median :23.00  ","","      T3","Median :33.00  ","","      T3","Median :32.00  ","","      T3","Median :35.00  ","","      T3","Median :23.00  ","","      T3","Median :36.00  "
