"","T1","T2","T3"
"1",35,28,30
"2",31,24,28
"3",35,27,32
"4",29,21,27
"5",28,23,26
"6",40,28,37
"7",36,24,32
"8",40,31,37
"9",27,21,24
"10",29,20,27
"11",29,24,26
"12",35,25,32
"13",30,21,27
"14",31,25,29
"15",31,23,27
"16",33,26,31
"17",30,24,28
"18",32,22,29
"19",37,26,33
"20",29,23,27
"21",26,21,24
"22",33,26,28
"23",34,25,31
"24",34,24,32
"25",28,24,22
"26",38,27,31
"27",31,28,30
"28",27,20,22
"29",34,23,32
"30",34,28,29
"31",32,26,27
"32",34,24,30
"33",38,26,33
"34",37,25,31
"35",37,27,35
"36",37,26,32
"37",29,20,27
"38",34,27,30
"39",27,21,25
"40",36,26,32
"41",35,22,30
"42",28,22,26
"43",32,28,33
"44",27,22,23
"45",36,23,33
"46",31,22,28
"47",31,25,29
"48",33,27,28
"49",33,27,29
"50",29,21,25
"51",30,23,28
"52",29,23,25
"53",37,30,30
"54",31,23,28
"55",32,26,30
"56",31,28,25
"57",28,19,25
"58",32,26,31
"59",32,27,29
"60",33,22,27
"61",32,22,27
"62",31,21,27
"63",31,25,29
"64",37,33,34
"65",40,29,35
"66",32,23,31
"67",30,18,25
"68",40,31,35
"69",37,23,36
"70",40,31,34
"71",30,20,25
"72",25,19,22
"73",30,23,28
"74",33,22,29
"75",37,32,33
"76",31,24,26
"77",34,26,29
"78",31,23,25
"79",31,23,28
"80",33,23,29
"81",35,26,32
"82",NA,27,33
"83",32,22,30
"84",36,29,35
"85",37,27,32
"86",33,27,29
"87",32,24,27
"88",35,27,33
"89",34,27,32
"90",34,25,32
"91",29,24,25
"92",37,26,29
"93",29,23,23
"94",34,26,33
"95",34,28,31
"96",34,24,31
"97",35,29,32
"98",33,22,26
"99",30,22,24
"100",38,25,31
