"","T1_sd","T2_sd","T3_sd"
"gamma_rate_closures_1",12.9196233175223,12.4899959967968,11.4455231422596
"gamma_rate_closures_2",14.3845982448822,10.4721853816033,14.2009389360939
"gamma_rate_closures_mixed",12.396235987858,12.8711563842052,12.396235987858
"gamma_rate_closures_unbalanced",23.4147389479362,19.9415813481947,21.0633963706394
"gamma_rate_closures_multirate",12.5797456254091,15.0416089564913,16.6332999331662
"gamma_rate_closures_multimix",14.3149106412393,15.9661099415815,23.5867194271127
"fixed_rate_closures_1",14.2711830857384,13.0735101126923,11.7862914721581
"fixed_rate_closures_2",11.7862914721581,12.6589889011722,10.9962114688045
"fixed_rate_closures_mixed",14.9080515158756,12.0933866224478,12.3659478676997
"fixed_rate_closures_unbalanced",13.9373598647664,32.9785283682176,20.8246648632497
"fixed_rate_closures_multirate",18.375708603117,19.1202336108462,15.3514385862259
"fixed_rate_closures_multimix",15.3920975395385,24.9048188108245,16.3986788085707
