"","T1","T2","T3","Control"
"1",100,100,100,325
"2",100,100,100,322
"3",100,100,100,323
"4",100,100,100,316
"5",100,100,100,345
"6",100,100,100,343
"7",100,100,100,340
"8",100,100,100,327
"9",100,100,100,329
"10",100,100,100,311
"11",100,100,100,338
"12",100,100,100,329
"13",100,100,100,288
"14",100,100,100,333
"15",100,100,100,275
"16",100,100,100,336
"17",100,100,100,302
"18",100,100,100,298
"19",100,100,100,336
"20",100,100,100,304
"21",100,100,100,317
"22",100,100,100,269
"23",100,100,100,299
"24",100,100,100,244
"25",100,100,100,344
"26",100,100,100,299
"27",100,100,100,329
"28",100,100,100,306
"29",100,100,100,342
"30",100,100,100,335
"31",100,100,100,296
"32",100,100,100,290
"33",100,100,100,302
"34",100,100,100,313
"35",100,100,100,303
"36",100,100,100,278
"37",100,100,100,275
"38",100,100,100,269
"39",100,100,100,312
"40",100,100,100,331
"41",100,100,100,332
"42",100,100,100,312
"43",100,100,100,297
"44",100,100,100,320
"45",100,100,100,319
"46",100,100,100,323
"47",100,100,100,305
"48",100,100,100,301
"49",100,100,100,314
"50",100,100,100,338
"51",100,100,100,328
"52",100,100,100,308
"53",100,100,100,365
"54",100,100,100,321
"55",100,100,100,333
"56",100,100,100,299
"57",100,100,100,289
"58",100,100,100,298
"59",100,100,100,308
"60",100,100,100,315
"61",100,100,100,325
"62",100,100,100,249
"63",100,100,100,311
"64",100,100,100,301
"65",100,100,100,313
"66",100,100,100,298
"67",100,100,100,316
"68",100,100,100,328
"69",100,100,100,305
"70",100,100,100,313
"71",100,100,100,297
"72",100,100,100,305
"73",100,100,100,335
"74",100,100,100,343
"75",100,100,100,290
"76",100,100,100,298
"77",100,100,100,313
"78",100,100,100,341
"79",100,100,100,341
"80",100,100,100,292
"81",100,100,100,349
"82",100,100,100,318
"83",100,100,100,310
"84",100,100,100,347
"85",100,100,100,283
"86",100,100,100,291
"87",100,100,100,302
"88",100,100,100,302
"89",100,100,100,286
"90",100,100,100,243
"91",100,100,100,312
"92",100,100,100,270
"93",100,100,100,307
"94",100,100,100,279
"95",100,100,100,330
"96",100,100,100,304
"97",100,100,100,320
"98",100,100,100,286
"99",100,100,100,297
"100",100,100,100,279
