"","T1","T2","T3"
"1",38,30,42
"2",24,21,27
"3",43,27,50
"4",43,28,55
"5",34,24,40
"6",31,25,35
"7",39,26,38
"8",35,25,37
"9",34,25,33
"10",32,22,38
"11",42,31,44
"12",39,25,37
"13",37,30,42
"14",34,24,35
"15",42,26,41
"16",33,26,45
"17",34,27,35
"18",34,29,38
"19",31,26,39
"20",48,30,45
"21",37,24,35
"22",29,22,27
"23",40,32,44
"24",42,30,52
"25",31,27,37
"26",38,28,45
"27",42,21,41
"28",53,32,63
"29",48,41,53
"30",39,28,41
"31",50,31,54
"32",36,26,37
"33",38,24,50
"34",39,25,50
"35",31,23,41
"36",46,41,49
"37",35,22,38
"38",30,18,33
"39",36,25,39
"40",36,26,42
"41",38,28,39
"42",32,26,38
"43",37,28,38
"44",35,23,32
"45",32,24,35
"46",31,23,35
"47",45,28,47
"48",42,30,43
"49",26,21,31
"50",36,35,43
"51",35,31,44
"52",48,42,64
"53",28,25,36
"54",37,23,39
"55",50,27,44
"56",41,27,43
"57",35,29,37
"58",60,43,57
"59",31,25,33
"60",46,35,48
"61",41,36,47
"62",36,24,39
"63",42,31,43
"64",32,23,31
"65",38,31,37
"66",48,38,57
"67",35,27,37
"68",45,35,44
"69",37,28,48
"70",34,25,38
"71",33,28,39
"72",35,29,43
"73",53,37,58
"74",25,23,29
"75",66,35,64
"76",33,28,35
"77",34,30,42
"78",41,25,39
"79",39,27,45
"80",35,22,37
"81",27,23,31
"82",36,30,41
"83",25,19,34
"84",41,27,47
"85",40,25,43
"86",47,34,53
"87",34,28,38
"88",38,24,37
"89",39,33,48
"90",40,32,46
"91",43,33,42
"92",53,41,54
"93",35,27,37
"94",48,38,47
"95",53,33,57
"96",36,27,38
"97",30,25,37
"98",34,23,29
"99",46,30,50
"100",42,27,46
