"","T1","T2","T3","Control"
"1",100,100,100,255
"2",100,100,100,334
"3",100,100,100,312
"4",100,100,100,318
"5",100,100,100,303
"6",100,100,100,328
"7",100,100,100,321
"8",100,100,100,268
"9",100,100,100,328
"10",100,100,100,309
"11",100,100,100,330
"12",100,100,100,290
"13",100,100,100,315
"14",100,100,100,318
"15",100,100,100,328
"16",100,100,100,333
"17",100,100,100,352
"18",100,100,100,304
"19",100,100,100,323
"20",100,100,100,346
"21",100,100,100,275
"22",100,100,100,296
"23",100,100,100,308
"24",100,100,100,280
"25",100,100,100,295
"26",100,100,100,379
"27",100,100,100,347
"28",100,100,100,276
"29",100,100,100,330
"30",100,100,100,256
"31",100,100,100,305
"32",100,100,100,334
"33",100,100,100,299
"34",100,100,100,278
"35",100,100,100,301
"36",100,100,100,330
"37",100,100,100,339
"38",100,100,100,267
"39",100,100,100,272
"40",100,100,100,276
"41",100,100,100,324
"42",100,100,100,316
"43",100,100,100,294
"44",100,100,100,312
"45",100,100,100,358
"46",100,100,100,307
"47",100,100,100,285
"48",100,100,100,335
"49",100,100,100,315
"50",100,100,100,310
"51",100,100,100,281
"52",100,100,100,324
"53",100,100,100,254
"54",100,100,100,317
"55",100,100,100,288
"56",100,100,100,306
"57",100,100,100,282
"58",100,100,100,319
"59",100,100,100,316
"60",100,100,100,382
"61",100,100,100,301
"62",100,100,100,272
"63",100,100,100,303
"64",100,100,100,296
"65",100,100,100,302
"66",100,100,100,302
"67",100,100,100,297
"68",100,100,100,336
"69",100,100,100,302
"70",100,100,100,336
"71",100,100,100,341
"72",100,100,100,293
"73",100,100,100,333
"74",100,100,100,269
"75",100,100,100,316
"76",100,100,100,292
"77",100,100,100,311
"78",100,100,100,294
"79",100,100,100,308
"80",100,100,100,310
"81",100,100,100,293
"82",100,100,100,366
"83",100,100,100,324
"84",100,100,100,304
"85",100,100,100,334
"86",100,100,100,288
"87",100,100,100,337
"88",100,100,100,311
"89",100,100,100,288
"90",100,100,100,274
"91",100,100,100,332
"92",100,100,100,288
"93",100,100,100,276
"94",100,100,100,288
"95",100,100,100,267
"96",100,100,100,329
"97",100,100,100,308
"98",100,100,100,321
"99",100,100,100,275
"100",100,100,100,261
